Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Selected,Lasso Magnitude Change from Linear
missingindicator_Power_RPM,-0.012603606171201,0.0022103522051455,0.012603606171201,0.0022103522051455,0.0103932539660554,0.0,0.0,False,0.012603606171201
Model_Creta SX 1.6 AT Petrol,-0.0118206747500131,-0.0016995663831574,0.0118206747500131,0.0016995663831574,0.0101211083668556,0.0,0.0,False,0.0118206747500131
Model_V40 D3 R-Design,-0.0652100227487303,-0.0552921773166562,0.0652100227487303,0.0552921773166562,0.009917845432074,-0.0,0.0,False,0.0652100227487303
Location_Chandigarh,0.0285023737036048,-0.0191414338326174,0.0285023737036048,0.0191414338326174,0.0093609398709873,-0.023379112830526242,0.023379112830526242,True,0.005123260873078558
Model_Vitara Brezza VDi (O) [2016-2018],-0.0178673171368065,-0.0096217643184911,0.0178673171368065,0.0096217643184911,0.0082455528183153,-0.0,0.0,False,0.0178673171368065
Model_Kwid RXT [2015-2019],0.0252002873310325,0.0175480702184843,0.0252002873310325,0.0175480702184843,0.0076522171125481,0.0,0.0,False,0.0252002873310325
Model_Swift DZire VDI,0.0200264182187687,0.0124691170635205,0.0200264182187687,0.0124691170635205,0.0075573011552481,0.011005986938265253,0.011005986938265253,True,0.009020431280503446
Model_Vitara Brezza ZDi,0.1213333157912911,0.1141179424246606,0.1213333157912911,0.1141179424246606,0.0072153733666304,0.1028798920224558,0.1028798920224558,True,0.018453423768835298
Model_Baleno Delta 1.2,-0.0468590163481215,-0.0400791114800275,0.0468590163481215,0.0400791114800275,0.0067799048680939,-0.012102354882010193,0.012102354882010193,True,0.03475666146611131
Model_Swift VXi [2014-2017],-0.0361555341444564,-0.0300262519559555,0.0361555341444564,0.0300262519559555,0.0061292821885008,-0.0,0.0,False,0.0361555341444564
Model_City 1.5 V AT,-0.1595322841737976,-0.1540070310473285,0.1595322841737976,0.1540070310473285,0.005525253126469,-0.11909168198069642,0.11909168198069642,True,0.040440602193101194
Seller Type_Individual,0.0413173029674602,0.0364226142586874,0.0413173029674602,0.0364226142586874,0.0048946887087727,-0.0,0.0,False,0.0413173029674602
Seller Type_Corporate,0.1003734344823768,0.0957329676332308,0.1003734344823768,0.0957329676332308,0.0046404668491459,0.05445517407113591,0.05445517407113591,True,0.04591826041124089
Length,0.224585606112878,0.2204824335015912,0.224585606112878,0.2204824335015912,0.0041031726112867,0.22181260328294092,0.22181260328294092,True,0.002773002829937088
Engine_CC,0.0248003078943992,0.0207149321177761,0.0248003078943992,0.0207149321177761,0.004085375776623,0.018403586624362873,0.018403586624362873,True,0.006396721270036328
Model_GLE 300d 4MATIC LWB,0.007384365127752,0.0033409804597662,0.007384365127752,0.0033409804597662,0.0040433846679857,0.0,0.0,False,0.007384365127752
Model_Verna Fluidic 1.6 CRDi SX,-0.2168590193682145,-0.2131682157156725,0.2168590193682145,0.2131682157156725,0.0036908036525419,-0.19374178924536825,0.19374178924536825,True,0.02311723012284625
missingindicator_Fuel Tank Capacity,-0.0034679068643128,-0.000108079293538,0.0034679068643128,0.000108079293538,0.0033598275707747,-0.0,0.0,False,0.0034679068643128
Seating Capacity,-0.0456352860232528,-0.0424654901703499,0.0456352860232528,0.0424654901703499,0.0031697958529028,-0.04380077854957486,0.04380077854957486,True,0.0018345074736779363
Model_GLE 250 d,-0.0232981170189434,-0.0203450675062694,0.0232981170189434,0.0203450675062694,0.0029530495126739,-0.0,0.0,False,0.0232981170189434
Model_Creta 1.6 SX Plus AT Petrol,0.0651615835889707,0.0624112011513473,0.0651615835889707,0.0624112011513473,0.0027503824376233,0.05160630224485824,0.05160630224485824,True,0.013555281344112463
missingindicator_Torque_RPM_Clean,0.0062836566609003,0.0036719469926362,0.0062836566609003,0.0036719469926362,0.002611709668264,6.157794371554832e-17,6.157794371554832e-17,True,0.0062836566609002385
missingindicator_Torque_NM,0.0062836566609003,0.0036719469926362,0.0062836566609003,0.0036719469926362,0.002611709668264,0.0013999999999996994,0.0013999999999996994,True,0.004883656660900601
missingindicator_Power_BHP,0.0062836566609003,0.0036719469926362,0.0062836566609003,0.0036719469926362,0.002611709668264,5.551115123125784e-17,5.551115123125784e-17,True,0.0062836566609002446
missingindicator_Engine_CC,0.0062836566609003,0.0036719469926362,0.0062836566609003,0.0036719469926362,0.002611709668264,0.014051212974757076,0.014051212974757076,True,-0.007767556313856776
Make_MINI,0.5092254472854469,0.506719402400813,0.5092254472854469,0.506719402400813,0.0025060448846339,0.5013319841902493,0.5013319841902493,True,0.007893463095197673
