Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Lasso Selected,Lasso Magnitude Change from Linear,Elastic Net Coefficient,Absolute Elastic Net Coefficient,Elastic Net Selected,Elastic Net Magnitude Change from Linear
Location_Bangalore,0.2440473349077006,0.1915884489545447,0.2440473349077006,0.1915884489545447,0.0524588859531558,0.1808554885029926,0.1808554885029926,True,0.063191846404708,0.17622896450086414,0.17622896450086414,True,0.06781837040683647
Location_Delhi,0.0648090989210344,0.0139114069422425,0.0648090989210344,0.0139114069422425,0.0508976919787918,0.0022284190023362,0.0022284190023362,True,0.0625806799186981,0.0,0.0,False,0.0648090989210344
Location_Noida,0.0694538723613639,0.0186657572303871,0.0694538723613639,0.0186657572303871,0.0507881151309767,0.0007426325911186,0.0007426325911186,True,0.0687112397702452,0.0,0.0,False,0.0694538723613639
Location_Ahmedabad,0.0502879483800512,-0.0020240270393749,0.0502879483800512,0.0020240270393749,0.0482639213406762,-0.0066297181840028,0.0066297181840028,True,0.0436582301960483,-0.004969166376963356,0.004969166376963356,True,0.045318782003087844
Location_Chennai,0.2599326648089639,0.2118376955198356,0.2599326648089639,0.2118376955198356,0.0480949692891282,0.1979414757005834,0.1979414757005834,True,0.0619911891083804,0.19391006594234417,0.19391006594234417,True,0.06602259886661971
Location_Bhopal,0.1249278113278917,0.0769977733136552,0.1249278113278917,0.0769977733136552,0.0479300380142364,0.0305566914776529,0.0305566914776529,True,0.0943711198502387,0.004256714034439518,0.004256714034439518,True,0.12067109729345218
Location_Patna,0.0784165937117436,0.0309076386981702,0.0784165937117436,0.0309076386981702,0.0475089550135733,0.0174787032157718,0.0174787032157718,True,0.0609378904959717,0.014074259565605391,0.014074259565605391,True,0.06434233414613821
Color_Yellow,0.0692016162233172,-0.0225124058749561,0.0692016162233172,0.0225124058749561,0.046689210348361,-0.0261154340191964,0.0261154340191964,True,0.0430861822041207,-0.000948999967983975,0.000948999967983975,True,0.06825261625533323
Model_Q3 35 TDI Premium + Sunroof,-0.1497448178820269,-0.103066719035186,0.1497448178820269,0.103066719035186,0.0466780988468408,-0.0799806729158606,0.0799806729158606,True,0.0697641449661662,-0.03067886164155947,0.03067886164155947,True,0.11906595624046742
Model_A6 35 TDI Matrix,-0.0692012382670924,-0.0235063829005095,0.0692012382670924,0.0235063829005095,0.0456948553665828,-0.0197869382679789,0.0197869382679789,True,0.0494142999991134,-0.0,0.0,False,0.0692012382670924
Location_Thane,0.0476594155640699,-0.0081865894057302,0.0476594155640699,0.0081865894057302,0.0394728261583396,-0.0063912953111797,0.0063912953111797,True,0.0412681202528901,-0.0,0.0,False,0.0476594155640699
Location_Mohali,0.0466510100016581,-0.0089696307815668,0.0466510100016581,0.0089696307815668,0.0376813792200912,-0.0151997232676706,0.0151997232676706,True,0.0314512867339874,-0.017216406440541558,0.017216406440541558,True,0.02943460356111654
Model_Fortuner 3.0 4x4 MT,0.2101364797951739,0.1762859360351558,0.2101364797951739,0.1762859360351558,0.033850543760018,0.1890588366606378,0.1890588366606378,True,0.0210776431345361,0.1521588528748629,0.1521588528748629,True,0.057977626920311026
Model_Fortuner 2.8 4x2 AT [2016-2020],0.2173474562017897,0.1874783432689052,0.2173474562017897,0.1874783432689052,0.0298691129328844,0.1956221677138767,0.1956221677138767,True,0.0217252884879129,0.15133728898283005,0.15133728898283005,True,0.06601016721895964
